Genus,Species,Subspecies,Variant,Weight (g)
Ambavia,gerrardii,,,699.3513514
Amborella,trichopoda,,,3.675
Anaxagorea,panamensis,,,92.7
Anemopsis,californica,,,0.364
Aniba,sp.,,,505
Annickia,kummeriae,,,970.1699029
Annona,acuminata,,,36
Annona,cherimola,,,351.04
Annona,glabra,,,213
Annona,hayesii,,,62
Annona,hypoglauca,,,444
Annona,jahnii,,,31.13
Annona,muricata,,,396
Annona,neglecta,,,133
Annona,purpurea,,,897
Annona,reticulata,,,194.7
Annona,senegalensis,,,107.69
Annona,senegalensis,,senegalensis,117.8
Annona,sp.,,,133.3
Annona,spraguei,,,37
Annona,squamosa,,,267
Annona,urbaniana,,,337.1704
Aristolochia,albida,,,3.855
Aristolochia,baetica,,,28.16
Aristolochia,bracteolata,,,8.2581
Aristolochia,chapmaniana,,,6
Aristolochia,chilensis,,,6.7758
Aristolochia,clematitis,,,42.2156
Aristolochia,elegans,,,2.104
Aristolochia,iberica,,,19.3696
Aristolochia,maurorum,,,53
Aristolochia,maxima,,,8.6019231
Aristolochia,paecilantha,,,26.8788
Aristolochia,pallida,castellana,,9.5221102
Aristolochia,pontica,,,13.6461216
Aristolochia,ringens,,,4.3764
Aristolochia,rotunda,,,14.6428571
Aristolochia,sempervirens,,,27.2928
Aristolochia,tagala,,,4.8088
Aristolochia,taliscana,,,2.604
Aristolochia,tomentosa,,,29.2324
Artabotrys,brachypetalus,,,976.76
Artabotrys,hexapetalus,,,587
Artabotrys,monteiroae,,,268
Asarum,canadense,,,7.78
Asarum,europaeum,,,2.82
Asarum,hartwegii,,,9.523
Ascarina,lucida,,,0.55
Ascarina,philippinensis,,,1.1
Ascarina,polystachya,,,0.28
Ascarina,rubricaulis,,,0.303
Ascarina,solmsiana,,,0.733
Ascarina,swamyana,,,1.057
Asimina,parviflora,,,300.6
Asimina,triloba,,,847
Atherosperma,moschatum,,,1.583
Austrobaileya,scandens,,,365
Beilschmiedia,bancroftii,,,20179
Beilschmiedia,kweo,,,21111
Beilschmiedia,miersii,,,3745
Beilschmiedia,pendula,,,4744
Beilschmiedia,recurva,,,1261
Beilschmiedia,sp.,,,5600
Beilschmiedia,tarairi,,,2500
Beilschmiedia,tawa,,,1250
Beilschmiedia,tooram,,,5800
Beilschmiedia,volckii,,,24000
Bocageopsis,multiflora,,,200
Brasenia,schreberi,,,6.78
Brasenia,tuberosa,,,9.805
Cabomba,caroliniana,,,1.143
Calycanthus,floridus,,,59.4
Calycanthus,occidentalis,,,76.899
Cananga,odorata,,,61.6
Cassytha,ciliolata,,,38.102
Cassytha,filiformis,,,40.95
Cassytha,flindersii,,,20.9716
Cassytha,glabella,,,28.26
Cassytha,melantha,,,73.0328
Cassytha,pedicellosa,,,10.225
Cassytha,pubescens,,,38.97
Cephalosphaera,usambarensis,,,23377
Chimonanthus,praecox,,,109.6
Chloranthus,erectus,,,2.16
Chloranthus,fortunei,,,0.98
Chloranthus,henryi,,,1.346
Chloranthus,japonicus,,,1.66
Chloranthus,serratus,,,0.853
Chloranthus,sessilifolius,,,2.104
Chloranthus,spicatus,,,2.178
Chlorocardium,rodiei,,,35480
Cinnamomum,burmanii,,,97.3
Cinnamomum,camphora,,,108
Cinnamomum,cassia,,,390
Cinnamomum,cecidodaphne,,,3.84
Cinnamomum,glanduliferum,,,172.04
Cinnamomum,iners,,,262
Cinnamomum,laubatii,,,650
Cinnamomum,porrectum,,,33
Cinnamomum,subavenium,,,106
Cinnamomum,verum,,,261.1231884
Cinnamomum,zeylanicum,,,568.2
Cremastosperma,leiophyllum,,,220
Cryptocarya,alba,,,833.33
Cryptocarya,angulata,,,1600
Cryptocarya,concinna,,,386
