sp_tpl,tpl_authority,order,family,genus,Lifeform,Seed.mass,Precip_Avg,Precip_SD,support,woodiness,nfixing,dormancy,lifeform_baskin,biome,table,rank,duplicated_sp,dormancy_g3,dormancy_g2
Acacia acanthoclada,F.Muell.,Fabales,Fabaceae,Acacia,Woody,4.0484,477,117.8294574,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Acacia acinacea,Lindl.,Fabales,Fabaceae,Acacia,Woody,10.7,1055.5,346.3178295,F,NA,Yes,NA,NA,NA,NA,NA,no,NA,NA
Acacia acuminata,Benth.,Fabales,Fabaceae,Acacia,Woody,15.2,644.5,187.0155039,F,W,Yes,PY,tree,matorral,1001,6208,no,PY,PY
Acacia ancistrocarpa,Maiden & Blakeley,Fabales,Fabaceae,Acacia,Woody,36.67,815.5,244.379845,F,W,Yes,NA,NA,NA,NA,NA,no,NA,NA
Acacia binata,Maslin,Fabales,Fabaceae,Acacia,Woody,NA,507.5,60.65891473,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Acacia brachybotrya,Benth.,Fabales,Fabaceae,Acacia,Woody,21.42,536.5,144.7674419,F,W,Yes,NA,NA,NA,NA,NA,no,NA,NA
Acacia cochlearis,(Labill.) Wendl.,Fabales,Fabaceae,Acacia,Woody,7.1596,691.5,205.2325581,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Acacia consobrina,R.S.Cowan & Maslin,Fabales,Fabaceae,Acacia,Woody,NA,489,77.13178295,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Acacia constricta,A.Gray,Fabales,Fabaceae,Acacia,Woody,13,1458.5,506.7829457,NA,NA,NA,PY,tree,"hot semidesert, desert",927,5604,no,PY,PY
Acacia cupularis,Domin,Fabales,Fabaceae,Acacia,Woody,16.2273,746,217.8294574,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Acacia cyclops,G.Don,Fabales,Fabaceae,Acacia,Woody,30.3,643,242.6356589,F,W,Yes,PY,shrub,matorral,1002,6403,no,PY,PY
Acacia declinata,R.S.Cowan & Maslin,Fabales,Fabaceae,Acacia,Woody,2.1964,447,84.10852713,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Acacia ehrenbergiana,Hayne,Fabales,Fabaceae,Acacia,Woody,21.7217,455,175.9689922,F,NA,Yes,ND,tree,"tropical savannas (dry woodlands,grasslands)",923,4712,yes,ND,ND
Acacia gerrardii,Benth.,Fabales,Fabaceae,Acacia,Woody,80.57,804.5,295.1550388,F,W,Yes,PY,tree,"tropical savannas (dry woodlands,grasslands)",923,4718,no,PY,PY
Acacia glaucoptera,Benth.,Fabales,Fabaceae,Acacia,Woody,3.9158,597.5,129.2635659,F,W,Yes,NA,NA,NA,NA,NA,no,NA,NA
