"Code","orig_name","old_name","name","speciesid"
9,"Achillea millefolium agg.","Achillea millefolium agg.","Achillea millefolium","Ach_mil"
2,"Adonis aestivalis","Adonis aestivalis","Adonis aestivalis","Ado_aes"
3,"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","Aeg_pod"
4,"Aethusa cynapium subsp. cynapium","Aethusa cynapium subsp. cynapium","Aethusa cynapium","Aet_cyn"
6,"Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","Agr_cap"
5,"Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","Agr_eup"
7,"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Agr_sto"
8,"Agrostis vinealis (incl. hybrids with A. capillaris)","Agrostis vinealis","Agrostis vinealis","Agr_vin"
10,"Ajuga genevensis","Ajuga genevensis","Ajuga genevensis","Aju_gen"
11,"Ajuga reptans","Ajuga reptans","Ajuga reptans","Aju_rep"
13,"Allium scorodoprasum","Allium scorodoprasum","Allium scorodoprasum","All_sco"
15,"Alopecurus pratensis","Alopecurus pratensis","Alopecurus pratensis","Alo_pra"
16,"Amaranthus retroflexus","Amaranthus retroflexus","Amaranthus retroflexus","Ama_ret"
18,"Anagallis arvensis","Anagallis arvensis","Anagallis arvensis","Ana_arv"
17,"Anacamptis pyramidalis","Anacamptis pyramidalis","Anacamptis pyramidalis","Ana_pyr"
19,"Anemone sylvestris","Anemone sylvestris","Anemone sylvestris","Ane_syl"
20,"Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Ang_syl"
22,"Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Ant_odo"
21,"Anthericum ramosum","Anthericum ramosum","Anthericum ramosum","Ant_ram"
23,"Anthriscus sylvestris","Anthriscus sylvestris","Anthriscus sylvestris","Ant_syl"
24,"Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria","Ant_vul"
25,"Apera spica-venti","Apera spica-venti","Apera spica-venti","Ape_spi"
26,"Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Aqu_vul"
27,"Arabis hirsuta","Arabis hirsuta","Arabis hirsuta","Ara_hir"
29,"Arenaria serpyllifolia agg.","Arenaria serpyllifolia agg.","Arenaria serpyllifolia","Are_ser"
30,"Arrhenatherum elatius","Arrhenatherum elatius","Arrhenatherum elatius","Arr_ela"
31,"Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris","Art_vul"
32,"Asarum europaeum","Asarum europaeum","Asarum europaeum","Asa_eur"
33,"Asperula cynanchica","Asperula cynanchica","Asperula cynanchica","Asp_cyn"
34,"Asperula tinctoria","Asperula tinctoria","Asperula tinctoria","Asp_tin"
35,"Aster amellus","Aster amellus","Aster amellus","Ast_ame"
36,"Astragalus cicer","Astragalus cicer","Astragalus cicer","Ast_cic"
37,"Astragalus danicus","Astragalus danicus","Astragalus danicus","Ast_dan"
38,"Astragalus glycyphyllos","Astragalus glycyphyllos","Astragalus glycyphyllos","Ast_gly"
39,"Astrantia major","Astrantia major","Astrantia major","Ast_maj"
40,"Atriplex patula","Atriplex patula","Atriplex patula","Atr_pat"
41,"Atriplex sagittata","Atriplex sagittata","Atriplex sagittata","Atr_sag"
42,"Avena fatua","Avena fatua","Avena fatua","Ave_fat"
44,"Bellis perennis","Bellis perennis","Bellis perennis","Bel_per"
46,"Betula pendula juv.","Betula pendula","Betula pendula","Bet_pen"
47,"Botrychium lunaria","Botrychium lunaria","Botrychium lunaria","Bot_lun"
50,"Brassica napus","Brassica napus","Brassica napus","Bra_nap"
48,"Brachypodium pinnatum","Brachypodium pinnatum","Brachypodium pinnatum","Bra_pin"
49,"Brachypodium sylvaticum","Brachypodium sylvaticum","Brachypodium sylvaticum","Bra_syl"
51,"Briza media","Briza media","Briza media","Bri_med"
52,"Bromus erectus","Bromus erectus","Bromus erectus","Bro_ere"
53,"Bromus hordeaceus (incl. B. commutatus)","Bromus hordeaceus","Bromus hordeaceus","Bro_hor"
54,"Bromus inermis","Bromus inermis","Bromus inermis","Bro_ine"
55,"Bromus japonicus","Bromus japonicus","Bromus japonicus","Bro_jap"
56,"Bromus sterilis","Bromus sterilis","Bromus sterilis","Bro_ste"
57,"Bupleurum falcatum","Bupleurum falcatum","Bupleurum falcatum","Bup_fal"
58,"Calamagrostis arundinacea","Calamagrostis arundinacea","Calamagrostis arundinacea","Cal_aru"
59,"Calamagrostis epigejos","Calamagrostis epigejos","Calamagrostis epigejos","Cal_epi"
60,"Campanula glomerata","Campanula glomerata","Campanula glomerata","Cam_glo"
61,"Campanula patula","Campanula patula","Campanula patula","Cam_pat"
62,"Campanula persicifolia","Campanula persicifolia","Campanula persicifolia","Cam_per"
63,"Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides","Cam_rap"
64,"Campanula trachelium","Campanula trachelium","Campanula trachelium","Cam_tra"
65,"Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Cap_bur"
80,"Carlina acaulis subsp. acaulis","Carlina acaulis subsp. acaulis","Carlina acaulis","Car_aca"
67,"Carduus acanthoides","Carduus acanthoides","Carduus acanthoides","Car_acanth"
82,"Carpinus betulus juv.","Carpinus betulus","Carpinus betulus","Car_bet"
69,"Carex caryophyllea","Carex caryophyllea","Carex caryophyllea","Car_cary"
68,"Carduus crispus","Carduus crispus","Carduus crispus","Car_cri"
70,"Carex digitata","Carex digitata","Carex digitata","Car_dig"
79,"Carex tomentosa","Carex tomentosa","Carex filiformis","Car_fil"
71,"Carex flacca","Carex flacca","Carex flacca","Car_fla"
72,"Carex hirta","Carex hirta","Carex hirta","Car_hir"
73,"Carex michelii","Carex michelii","Carex michelii","Car_mic"
74,"Carex montana","Carex montana","Carex montana","Car_mon"
75,"Carex muricata agg. (usually C. spicata)","Carex muricata agg.","Carex muricata","Car_mur"
76,"Carex pallescens","Carex pallescens","Carex pallescens","Car_pal"
77,"Carex panicea","Carex panicea","Carex panicea","Car_pan"
78,"Carex pilulifera","Carex pilulifera","Carex pilulifera","Car_pil"
66,"Cardamine matthioli","Cardamine matthioli","Cardamine pratensis subsp. matthioli","Car_pra1"
81,"Carlina vulgaris agg.","Carlina vulgaris agg.","Carlina vulgaris","Car_vul"
87,"Centaurium erythraea subsp. erythraea","Centaurium erythraea subsp. erythraea","Centaurium erythraea","Cen_ery"
