genus,species,subspecies,variant,span
Populus,bolleana,,,perennial
Populus,grandidentata,,,perennial
Populus,tremula,,glandulosa,perennial
Populus,tremuloides,,,perennial
Populus,berolinensis,,,perennial
Populus,maximowiczii,,,perennial
Populus,tremuloides,,,perennial
Populus,canadensis,,,perennial
Populus,angustifolia,,,perennial
Populus,nigra,,,perennial
Populus,trichocarpa,,,perennial
Populus,grandidentata,,,perennial
Populus,nigra,,,perennial
Populus,alba,,,perennial
Populus,tremuloides,,,perennial
Populus,deltoides,,,perennial
Populus,nigra,,,perennial
Fragaria,vesca,nubicola,,perennial
Arbutus,arizonica,,,perennial
Manilkara,bidentata,,,perennial
Machaeranthera,bigelovii,,bigelovii,biennial/perennial
Phyllodoce,breweri,,,perennial
Schoepfia,chrysophylloides,,,perennial
Astragalus,curvicarpus,,,perennial
Olsynium,douglasii,,douglasii,perennial
Ambrosia,dumosa,,,perennial
Oenothera,flava,,,perennial
Tapinanthus,globiferus,,,perennial
Sporobolus,heterolepis,,,perennial
Agelanthus,heteromorphus,,,perennial
Chamaecyparis,lawsoniana,,,perennial
Penstemon,lyallii,,,perennial
Sidalcea,oregana,hydrophila,,perennial
Ericameria,pinifolia,,,perennial
Krameria,ramosissima,,,perennial
Moquiniella,rubra,,,perennial
Korthalsella,salicornioides,,,perennial
Myoporum,sandwicense,,,perennial
Pouteria,sandwicensis,,,perennial
Begonia,silletensis,,,perennial
Solanum,wallacei,,,perennial
Peristethium,archeri,,,perennial
Aetanthus,verticillatus,,,perennial
Begonia,griffithiana,,,perennial
Begonia,nepalensis,,,perennial
Silene,ostenfeldii,,,perennial
Cirsium,andersonii,,,perennial
Cirsium,andrewsii,,,perennial
Cirsium,arizonicum,,,perennial
Amaranthus,australis,,,annual
Cirsium,eatonii,,,perennial
Eremalche,exilis,,,annual
Lepechinia,hastata,,,perennial
Cirsium,quercetorum,,,perennial
Eremalche,rotundifolia,,,annual
Cirsium,wheeleri,,,perennial
Coccinia,adoensis,,,perennial
Lepechinia,speciosa,,,perennial
Osyris,speciosa,,,perennial
Populus,afghanica,,,perennial
Clintonia,borealis,,,perennial
Spartina,patens,,,perennial
Symphyotrichum,patens,,patens,perennial
Liatris,pilosa,,pilosa,perennial
Alnus,serrulata,,,perennial
Malus,ioensis,,,perennial
Salix,alaxensis,,,perennial
Gaylussacia,dumosa,,,perennial
Acacia,longifolia,,,perennial
Psittacanthus,nudus,,,perennial
Gaertnera,walkeri,,,perennial
Rhododendron,atlanticum,,,perennial
Schefflera,morototonii,,,perennial
Phoradendron,racemosum,,,perennial
Gynerium,sagittatum,,,perennial
Silene,sorensenis,,,perennial
Sidalcea,hickmanii,parishii,,perennial
Cladocolea,inorna,,,perennial
Struthanthus,inornus,,,perennial
Gaertnera,furcellata,,,perennial
Scorodocarpus,borneensis,,,perennial
Champereia,cumingiana,,,perennial
Tetrastylidium,grandifolium,,,perennial
Dendropemon,loranthoideus,,,perennial
Pentarhopalopilia,umbellulata,,,perennial
Agelanthus,deltae,,,perennial
Agelanthus,longipes,,,perennial
Agelanthus,nyasicus,,,perennial
Vanwykia,remota,,,perennial
Englerina,triplinervia,,,perennial
Asparagus,concinnus,,,perennial
Bakerella,diplocrater,,,perennial
Bakerella,gonoclada,,,perennial
Bakerella,hoyifolia,,,perennial
Asparagus,lycopodineus,,,perennial
Bakerella,microcuspis,,,perennial
Globimetula,mweroensis,,,perennial
Asparagus,natalensis,,,perennial
Lepechinia,chamaedryoides,,,perennial
Globimetula,assiana,,,perennial
Phragmanthera,edouardii,,,perennial
Globimetula,elegantiflora,,,perennial
Englerina,kapiriensis,,,perennial
Globimetula,kivuensis,,,perennial
Tapinanthus,letouzeyi,,,perennial
Phragmanthera,longiflora,,,perennial
Erianthemum,melanocarpum,,,perennial
Phragmanthera,raynaliana,,,perennial
Erigeron,peregrinus,,,perennial
Decaisnina,angustata,,,perennial
Amyema,eburna,,,perennial
Decaisnina,petiolata,,,perennial
Zenobia,pulverulenta,,,perennial
Morella,inodora,,,perennial
Serenoa,repens,,,perennial
Ecballium,elaterium,dioicum,,perennial
Plicosepalus,curviflorus,,,perennial
Heisteria,pentandra,,,perennial
Cathedra,acuminata,,,perennial
Melissa,axillaris,,,perennial
Digitaria,californica,,,perennial
Lepechinia,calycina,,,perennial
Dendrophthora,clavata,,,perennial
Lepechinia,conferta,,,perennial
Lotus,crassifolius,,,perennial
Cladocolea,diversifolia,,,perennial
Struthanthus,diversifolius,,,perennial
Lepechinia,floribunda,,,perennial
Dulacia,gardneriana,,,perennial
Cladocolea,grahamii,,,perennial
Oryctanthus,grahamii,,,perennial
Struthanthus,hartwegii,,,perennial
Cladocolea,inconspicua,,,perennial
Phtirusa,inconspicua,,,perennial
Lepechinia,lamiifolia,,,perennial
Dulacia,macrophylla,,,perennial
Lepechinia,mutica,,,perennial
Jarilla,nana,,,perennial
Dulacia,pauciflora,,,perennial
Valeriana,pratensis,,,perennial
Lepechinia,radula,,,perennial
Psittacanthus,rhynchanthus,,,perennial
Muhlenbergia,rigens,,,perennial
Tristerix,secundus,,,perennial
Dendrophthora,squamigera,,,perennial
Lepechinia,tomentosa,,,perennial
Agastache,urticifolia,,,perennial
Lepechinia,vesiculosa,,,perennial
Eugenia,rhombea,,,perennial
Schoepfia,paradoxa,,,perennial
Solanum,ehrenbergii,,,perennial
Solanum,iopetalum,,,perennial
Elytranthe,albida,,,perennial
Pilea,angulata,,,perennial
Scurrula,atropurpurea,,,perennial
Dendrotrophe,buxifolia,,,perennial
Anacolosa,frutescens,,,perennial
Pilea,glaberrima,,,perennial
Champereia,manillana,,,perennial
Elatostema,parvum,,,perennial
Boehmeria,pilosiuscula,,,perennial
Dendromyza,reinwardtiana,,,perennial
Dendrotrophe,umbellata,,,perennial
Dendrotrophe,varians,,,perennial
Silene,herbilegorum,,,perennial
Mammillaria,coahuilensis,,,perennial
Solanum,sibundoyense,,,perennial
Delonix,regia,,,perennial
Ptilagrostis,kingii,,,perennial
Tsuga,mertensiana,,,perennial
Elliottia,pyroliflora,,,perennial
Picea,sitchensis,,,perennial
Heisteria,acuminata,,,perennial
Rumex,pseudonatronatus,,,perennial
Limnobium,spongia,,,perennial
Pilostyles,mexicana,,,perennial
Thalictrum,peninsulare,,,perennial
Mammillaria,guerreronis,,,perennial
Mammillaria,patonii,,,perennial
Schisandra,glabra,,,perennial
Lepechinia,heteromorpha,,,perennial
Lepechinia,urbanii,,,perennial
Mammillaria,albicans,,,perennial
Mammillaria,cerralboa,,,perennial
Mammillaria,evermanniana,,,perennial
Mammillaria,fraileana,,,perennial
Mammillaria,gaumeri,,,perennial
Mammillaria,jaliscana,,,perennial
Mammillaria,johnstonii,,,perennial
Mammillaria,lloydii,,,perennial
Mammillaria,longicoma,,,perennial
Mammillaria,longiflora,,,perennial
Mammillaria,nunezii,,,perennial
Mammillaria,ortegae,,,perennial
Mammillaria,peninsularis,,,perennial
Mammillaria,scrippsiana,,,perennial
Mammillaria,sheldonii,,,perennial
Mammillaria,standleyi,,,perennial
Mammillaria,viridiflora,,,perennial
Hypericum,boreale,,,perennial
Thalictrum,coriaceum,,,perennial
Polygala,cowellii,,,perennial
Scirpus,pallidus,,,perennial
Silene,longicilia,,,perennial
Elatostema,rupestre,,,perennial
Pilea,scripta,,,perennial
Leymus,triticoides,,,perennial
Galium,paniculatum,,,perennial
Nepeta,pungens,,,annual
Korthalsella,articulata,,,perennial
Fraxinus,profunda,,,perennial
Dendrophthora,bonaniae,,,perennial
Dendrophthora,chrysostachya,,,perennial
Oryctanthus,cordifolius,,,perennial
Ginalloa,cumingiana,,,perennial
Dendrophthora,glauca,,,perennial
Struthanthus,haenkei,,,perennial
Exocarpos,luzonensis,,,perennial
Dendrophthora,mancinellae,,,perennial
Psittacanthus,mexicanus,,,perennial
Silene,namlaensis,,,perennial
Dendrophthora,obliqua,,,perennial
Silene,rubricalyx,,,perennial
Schoenoplectus,californicus,,,perennial
Schoenoplectus,tabernaemontani,,,perennial
Begonia,molleri,,,perennial
Dendrotrophe,platyphylla,,,perennial
Sidalcea,sparsifolia,,,perennial
Solanum,chmielewskii,,,perennial
Gentiana,caelestis,,,perennial
Salix,ligulifolia,,,perennial
Cirsium,glabrifolium,,,perennial
Cirsium,sairamense,,,perennial
Phragmites,australis,,,perennial
Erodium,botrys,,,annual/biennial
Verbesina,encelioides,,,annual
Chilopsis,linearis,,,perennial
Pentarhopalopilia,madagascariensis,,,perennial
Pentarhopalopilia,perrieri,,,perennial
