genus,species,subspecies,variant,nfix
Quercus,agrifolia,,agrifolia,no
Cercocarpus,betuloides,,betuloides,yes
Hedysarum,boreale,boreale,boreale,yes
Corylus,cornuta,,californica,no
Ribes,californicum,,californicum,no
Acer,negundo,,californicum,no
Dalea,candida,,candida,yes
Eriophyllum,confertiflorum,,confertiflorum,no
Ceanothus,cuneatus,,cuneatus,yes
Quercus,durata,,durata,no
Robinia,hispida,,fertilis,yes
Quercus,virginia,,geminata,no
Quercus,virginia,,geminata,no
Quercus,virginia,,geminata,no
Ribes,sanguineum,,glutinosum,no
Juglans,californica,,hindsii,no
Tephrosia,polystachia,,hirta,yes
Tephrosia,polystachia,,hirta,yes
Symphoricarpos,albus,,laevigatus,no
Linum,lewisii,,lewisii,no
Ribes,malvaceum,,malvaceum,no
Pseudotsuga,menziesii,,menziesii,no
Astragalus,mollissimus,,mollissimus,yes
Ribes,divaricatum,,pubiflorum,no
Ceanothus,oliganthus,,sorediatus,yes
Cercis,canadensis,,texensis,yes
Mucuna,pruriens,,utilis,no
Lonicera,hispidula,,vacillans,no
Dichrostachys,cinerea,africana,,no
Olea,europaea,africana,,no
Olea,europaea,africana,,no
Olea,europaea,africana,,no
Olea,europaea,africana,,no
Olea,europaea,africana,,no
Dodonaea,viscosa,angustissima,,no
Dodonaea,viscosa,angustissima,,no
Dodonaea,viscosa,angustissima,,no
Dodonaea,viscosa,angustissima,,no
Hakea,recurva,arida,,no
Hakea,recurva,arida,,no
Hakea,recurva,arida,,no
Senna,artemisioides,Artemisioides,,no
Quercis,ilex,ballota,,no
Aristida,congesta,barbicollis,,no
Aristida,congesta,barbicollis,,no
Aristida,congesta,barbicollis,,no
Syzygium,eucalyptoides,bleeser,,no
Syzygium,eucalyptoides,bleeser,,no
Syzygium,eucalyptoides,bleeser,,no
Rhamnus,californica,californica,,no
Olea,europaea,cerasiformis,,no
Aristida,congesta,congesta,,no
Aristida,congesta,congesta,,no
Senna,artemisioides,Coriacea,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Pelargonium,myrhhifolium,coriandrifolium,,no
Hakea,pandicarpa,crassifolia,,no
Hakea,pandicarpa,crassifolia,,no
Hakea,pandicarpa,crassifolia,,no
Alnus,viridis,crispa,,yes
Dodonaea,viscosa,cuneata,,no
Dodonaea,viscosa,cuneata,,no
Dodonaea,viscosa,cuneata,,no
Dodonaea,viscosa,cuneata,,no
Dodonaea,viscosa,cuneata,,no
Dodonaea,viscosa,cuneata,,yes
Hakea,cygna,cygna,,no
Hakea,cygna,cygna,,no
Hakea,cygna,cygna,,no
Hakea,cygna,cygna,,no
Micropholis,guyanensis,Duckeana,,no
Micropholis,guyanensis,Duckeana,,no
Strychnos,henningsii,gerrardii,,no
Strychnos,henningsii,gerrardii,,no
Strychnos,henningsii,gerrardii,,no
Cleome,isomeris,Greene,,yes
Quercus,mongolica,grosseserrata,,no
Quercus,mongolica,grosseserrata,,no
Quercus,mongolica,grosseserrata,,no
Micropholis,guianensis,Guianensis,,no
Micropholis,guyanensis,guyanensis,,no
Prunus,ilicifolia,ilicifolia,,no
Pelargonium,antidysentericum,inerme,,no
Pelargonium,antidysentericum,inerme,,no
Pelargonium,antidysentericum,inerme,,no
Pelargonium,antidysentericum,inerme,,no
Betula,platyphylla,japonica,,no
Betula,platyphylla,japonica,,no
Betula,platyphylla,japonica,,no
Trifolium,alexandrinum,,,yes
Elaeagnus,angustifolia,,,yes
Lupinus,angustifolius,,,yes
Vicia,benghalensis,,,yes
Lotus,corniculatus,,,yes
Medicago,polymorpha,,,yes
Robinia,pseudoacacia,,,yes
Trifolium,subterraneum,,,yes
Lathyrus,tuberosus,,,yes
Salix,lucida,lasiandra,,no
Olea,capensis,macrocarpa,,no
Olea,capensis,macrocarpa,,no
Olea,capensis,macrocarpa,,no
Olea,capensis,macrocarpa,,no
Salix,anticecrenata,monadelpha,,no
Salix,anticecrenata,monadelpha,,no
Salix,anticecrenata,monadelpha,,no
Hakea,cygna,needlei,,no
Hakea,cygna,needlei,,no
Hakea,cygna,needlei,,no
Buxuxu,folhas,novas,,no
Cercocarpus,ledifolius,,,yes
Dichrostachys,cinerea,nyassana,,no
Dichrostachys,cinerea,nyassana,,no
Hakea,pandicarpa,pandicarpa,,no
Hakea,pandicarpa,pandicarpa,,no
Hakea,pandicarpa,pandicarpa,,no
Hakea,obliqua,parviflora,,no
Hakea,obliqua,parviflora,,no
Hakea,obliqua,parviflora,,no
Hakea,obliqua,parviflora,,no
Hakea,obliqua,parviflora,,yes
Senna,artemisioides,Petiolaris,,no
Ceanothus,sanguineus,,,yes
Hakea,recurva,recurva,,no
Hakea,recurva,recurva,,no
Hakea,recurva,recurva,,no
Alnus,incana,rugosa,,yes
Trifolium,vesiculosum,Savi,,yes
Arenaria,lanuginosa,saxosa,,no
Onobrychis,viciifolia,,,yes
Cornus,sericea,sericea,,no
Setaria,sphacelata,sericea,,no
Setaria,sphacelata,sericea,,no
Setaria,sphacelata,sericea,,no
Alnus,viridis,sinuata,,yes
Dodonaea,viscosa,spatulata,,no
Dodonaea,viscosa,spatulata,,no
Dodonaea,viscosa,spatulata,,no
Dodonaea,viscosa,spatulata,,no
Vigna,ungiculata,stenophylla,,yes
Alnus,incana,tenuifolia,,yes
Setaria,sphacelata,torta,,no
Setaria,sphacelata,torta,,no
Setaria,sphacelata,torta,,no
Setaria,sphacelata,torta,,no
Setaria,sphacelata,torta,,no
Populus,balsamifera,Trichocarpa,,no
Vicia,villosa,varia,,yes
Senna,artemisioides,Zygophylla,,no
Lupinus,sp.,,,yes
Aristida,edsenesionus,,,no
Crotalaria,abbreviata,,,yes
Cassia,abbreviata,,,yes
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Picea,abies,,,no
Aspalathus,abietina,,,yes
Hakea,aborescens,,,no
Astragalus,aboriginum,,,yes
Ecclinusa,abreviata,,,no
Ecclinusa,abreviata,,,no
Ecclinusa,abreviata,,,no
Ecclinusa,abreviata,,,no
Ecclinusa,abreviata,,,no
Cassia,abreviata,,,yes
Cassia,abreviata,,,yes
Cassia,abreviata,,,yes
Berzelia,abrontanoides,,,no
Berzelia,abrontanoides,,,no
Berzelia,abrontanoides,,,no
Berzelia,abrontanoides,,,no
Berzelia,abrotanoides,,,yes
Berzelia,abrotanoides,,,no
Pterodon,abruptus,,,yes
Artemisia,absinthium,,,no
Artemisia,absinthium,,,no
Artemisia,absinthium,,,yes
Artemisia,absinthium,,,no
Chamaecrista,absus,,,yes
Chamaecrista,absus,,,yes
Chamaecrista,absus,,,yes
Chamaecrista,absus,,,yes
Chamaecrista,absus,,,yes
Chamaecrista,absus,,,yes
Acacia,abyssinica,,,yes
Entada,abyssinica,,,yes
Aeschynomene,abyssinica,,,yes
Antopetitia,abyssinica,,,yes
Erythrina,abyssinica,,,yes
Digitaria,abyssinica,,,yes
Tragacantha,abyssinica,,,yes
Guizotia,abyssinica,,,no
Hagenia,abyssinica,,,no
Pisum,abyssinicum,,,yes
Tephrosia,acaciifolia,,,yes
Macrolobium,acaciifolium,,,yes
Macrolobium,acaciifolium,,,yes
Macrolobium,acaciifolium,,,yes
Macrolobium,acaciifolium,,,no
Onopordum,acanthium,,,no
Mimosa,acanthocarpa,,,yes
Glycyrrhiza,acanthocarpa,,,yes
Indigofera,acanthocarpa,,,yes
Carduus,acanthoides,,,no
Lysiloma,acapulcense,,,yes
Pterocarpus,acapulcensis,,,yes
Chamaesciadium,acaule,,,no
Calandrinia,acaulis,,,no
Calandrinia,acaulis,,,no
Bituminaria,acaulis,,,yes
Psoralea,acaulis,,,yes
Calandrinia,acaulis,,,yes
Gentiana,acaulis,,,no
Silene,acaulis,,,no
Protea,acaulos,,,no
Protea,acaulos,,,no
Protea,acaulos,,,yes
Acacia,accola,,,yes
Erigeron,acer,,,yes
Pterospermum,acerifolia,,,no
Pterospermum,acerifolia,,,no
Pterospermum,acerifolium,,,yes
Melaleuca,acerosa,,,no
Melaleuca,acerosa,,,no
Melaleuca,acerosa,,,no
Pultenaea,acerosa,,,yes
Distichlis,acerosa,,,yes
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Ampelocissus,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,no
Rumex,acetosa,,,yes
Ampelocissus,acetosa,,,yes
Rumex,acetosa,,,no
Rumex,acetosella,,,no
Rumex,acetosella,,,no
Rumex,acetosella,,,no
Oxalis,acetosella,,,no
Rumex,acetosella,,,no
Rumex,acetosella,,,no
Rumex,acetosella,,,no
Rumex,acetosella,,,yes
Oxalis,acetosella,,,yes
Oxalis,acetosella,,,no
Rumex,acetosella,,,no
Calytrix,achaeta,,,no
Calytrix,achaeta,,,yes
Aristida,achalensis,,,yes
Chorizema,aciculare,,,yes
Podolobium,aciculare,,,yes
Rosa,acicularis,,,no
Rosa,acicularis,,,no
Dianthus,acicularis,,,no
Rosa,acicularis,,,no
Dianthus,acicularis,,,no
Aspalathus,acicularis,,,yes
Crotalaria,acicularis,,,yes
Daviesia,acicularis,,,yes
Dianthus,acicularis,,,yes
Rosa,acicularis,,,yes
Enteropogon,acicularis,,,no
Rosa,acicularis,,,no
Chrysopogon,aciculatus,,,no
Hymenocardia,acida,,,no
Hymenocardia,acida,,,no
Hymenocardia,acida,,,no
Hymenocardia,acida,,,yes
Hymenocardia,acida,,,no
Owenia,acidula,,,no
Owenia,acidula,,,yes
Acacia,acinacea,,,yes
Carpobrotus,acinaciformis,,,no
Carpobrotus,acinaciformis,,,yes
Miconia,acinodendron,,,no
Miconia,acinodendron,,,no
Miconia,acinodendron,,,yes
Ocotea,aciphylla,,,yes
Albizia,acle,,,yes
Vigna,aconitifolia,,,yes
Acacia,acradenia,,,yes
Erigeron,acre,,,no
Sedum,acre,,,no
Erigeron,acre,,,no
Sedum,acre,,,no
Sedum,acre,,,yes
Sedum,acre,,,no
Inga,acreana,,,yes
Bauhinia,acreana,,,yes
Ranunculus,acris,,,no
Ranunculus,acris,,,no
Ranunculus,acris,,,no
Ranunculus,acris,,,no
Ranunculus,acris,,,no
Ranunculus,acris,,,yes
Erigeron,acris,,,no
Ranunculus,acris,,,no
Inga,acrocephala,,,yes
Poa,acroleuca,,,no
Quintinia,actifolia,,,no
Senecio,actinella,,,no
Senecio,actinella,,,yes
Gardenia,actinocarpa,,,no
Gardenia,actinocarpa,,,yes
Alstonia,actinophylla,,,no
Alstonia,actinophylla,,,no
Schefflera,actinophylla,,,no
Brassaia,actinophylla,,,no
Alstonia,actinophylla,,,yes
Schefflera,actinophylla,,,yes
Pereskia,aculeata,,,no
Pereskia,aculeata,,,no
Randia,aculeata,,,no
Parkinsonia,aculeata,,,yes
Medicago,aculeata,,,yes
Psoralea,aculeata,,,yes
Pereskia,aculeata,,,yes
Randia,aculeata,,,yes
Senna,aculeata,,,yes
Coronilla,aculeata,,,yes
Sesban,aculeata,,,yes
Cleome,aculeata,,,no
Parkinsonia,aculeata,,,no
Pereskia,aculeata,,,no
Mimosa,aculeaticarpa,,,yes
Mimosopsis,aculeaticarpa,,,yes
Lophocarpinia,aculeatifolia,,,yes
Solanum,aculeatissimum,,,no
Machaerium,aculeatum,,,yes
Ruscus,aculeatus,,,no
Ruscus,aculeatus,,,no
Ruscus,aculeatus,,,no
Ruscus,aculeatus,,,no
Ruscus,aculeatus,,,yes
Ruscus,aculeatus,,,no
Hedysarum,aculeolatum,,,yes
Miconia,acuminata,,,no
Miconia,acuminata,,,no
Miconia,acuminata,,,no
Carpentaria,acuminata,,,no
Hakea,acuminata,,,no
Maytenus,acuminata,,,no
Vitex,acuminata,,,no
Psychotria,acuminata,,,no
Maytenus,acuminata,,,no
Hakea,acuminata,,,no
Inga,acuminata,,,yes
Acacia,acuminata,,,yes
Aspalathus,acuminata,,,yes
Rafnia,acuminata,,,yes
Maytenus,acuminata,,,yes
Hancea,acuminata,,,yes
Miconia,acuminata,,,yes
Carpentaria,acuminata,,,yes
Vitex,acuminata,,,yes
Mecardonia,acuminata,,,yes
Alnus,acuminata,,,yes
Psychotria,acuminata,,,yes
Bauhinia,acuminata,,,yes
Intsia,acuminata,,,yes
Stylosanthes,acuminata,,,yes
Alnus,acuminata,,,yes
Musa,acuminata,,,no
Trichoscypha,acuminata,,,no
Rhynchosia,acuminatissima,,,yes
Santalum,acuminatum,,,no
Santalum,acuminatum,,,no
Santalum,acuminatum,,,no
Santalum,acuminatum,,,yes
dichanthelium,acuminatum,,,yes
Santalum,acuminatum,,,no
Bauhinia,acuruana,,,yes
Quercus,acuta,,,no
Sida,acuta,,,no
Quercus,acuta,,,no
Quercus,acuta,,,no
Shorea,acuta,,,no
Shorea,acuta,,,no
Shorea,acuta,,,no
Shorea,acuta,,,no
Shorea,acuta,,,no
