genus,species,subspecies,variant,photo
Rumex,acetosa,acetosa,,C3
Dichrostachys,cinerea,africana,,C3
Olea,europaea,africana,,C3
Olea,europaea,africana,,C3
Bituminaria,bituminosa,albomarginata,,C3
Bituminaria,bituminosa,albomarginata,,C3
Bituminaria,bituminosa,albomarginata,,C3
Bituminaria,bituminosa,albomarginata,,C3
Anthoxanthum,monticola,alpinum,,C3
Viburnum,opulus,americana,,C3
Syringa,reticulata,amurensis,,C3
Syringa,reticulata,amurensis,,C3
EUPHRASIA,OFFICINALIS,ANGLICA,,C3
EUPHRASIA,OFFICINALIS,ANGLICA,,C3
Chamerion,angustifolium,angustifolium,,C3
Chamerion,angustifolium,angustifolium,,C3
Dodonaea,viscosa,angustissima,,C3
Dodonaea,viscosa,angustissima,,C3
Dodonaea,viscosa,angustissima,,C3
Dodonaea,viscosa,angustissima,,C3
Luzula,arctica,arctica,,C3
Luzula,arctica,arctica,,C3
Luzula,arctica,arctica,,C3
Luzula,arctica,arctica,,C3
Luzula,arctica,arctica,,C3
Luzula,arctica,arctica,,C3
Senna,artemisioides,artemisioides,,C3
Senna,artemisioides,Artemisioides,,C3
Anagallis,arvensis,arvensis,,C3
ELEOCHARIS,MAMILLATA,AUSTRIACA,,C3
ELEOCHARIS,MAMILLATA,AUSTRIACA,,C3
Arctostaphylos,bakeri,bakeri,,C3
Cephalaria,squamiflora,balearica,,C3
Cephalaria,squamiflora,balearica,,C3
Quercis,ilex,ballota,,C3
Urtica,atrovirens,bionorii,,C3
Dianthus,rupicola,bocchoriana,,C3
Quercus,rubra,borealis,,C3
Suaeda,vera,braun-blanquetii,,C3
Rhynchospora,rugosa,brownii,,C3
jubatum,var,caespitosum,,C3
Hypericum,hircinum,cambessedesii,,C3
Sambucus,nigra,canadensis,,C3
Sambucus,nigra,canadensis,,C3
Sambucus,nigra,canadensis,,C3
Sambucus,nigra,canadensis,,C3
Sambucus,nigra,canadensis,,C3
Sambucus,nigra,canadensis,,C3
CAREX,CANESCENS,CANESCENS,,C3
CAREX,CANESCENS,CANESCENS,,C3
Olea,europaea,cerasiformis,,C3
Achillea,millefolium,collina,,C3
Betula,papyrifera,cordifolia,,C3
Senna,artemisioides,Coriacea,,C3
Alnus,viridis,crispa,,C3
Casuarina,cristata,cristata,,C3
Arctostaphylos,tomentosa,crustacea,,C3
Dodonaea,viscosa,cuneata,,C3
Dodonaea,viscosa,cuneata,,C3
Dodonaea,viscosa,cuneata,,C3
Dodonaea,viscosa,cuneata,,C3
Arctostaphylos,stanfordiana,decumbens,,C3
CERASTIUM,ARCTICUM,EDMONDSTONII,,C3
Ambrosia,artemisiifolia,elatior,,C3
Ambrosia,artemisiifolia,elatior,,C3
Avicennia,marina,eucalyptifolia,,C3
Vitis,heyneana,ficifolia,,C3
Cyperus,alternifolius,flabelliformis,,C3
Arctostaphylos,hookeri,franciscana,,C3
Strychnos,henningsii,gerrardii,,C3
Agrostis,stolonifera,gigantea,,C3
Cerastium,fontanum,glabrescens,,C3
Festuca,arundinacea,glaucescens,,C3
Ixeris,chinensis,graminifolia,,C3
CALLITRICHE,BRUTIA,HAMULATA,,C3
CALLITRICHE,BRUTIA,HAMULATA,,C3
CALLITRICHE,BRUTIA,HAMULATA,,C3
Atriplex,patula,hastata,,C3
Empetrum,nigrum,hermaphroditum,,C3
Peucedanum,praeruptorum,hirsutiusculum,,C3
Arctostaphylos,hookeri,hookeri,,C3
Quercus,ilex,ilex,,C3
Prunus,ilicifolia,ilicifolia,,C3
Acacia,nilotica,indica,,C3
Gletitsia,triacanthos,intermis,,C3
Lonicera,involucrata,involucrata,,C3
Eleocharis,congesta,japonica,,C3
Festuca,subulata,japonica,,C3
Ranunculus,japonicus,japonicus,,C3
Rhus,copallina,lanceolata,,C3
Festuca,arundinacea,letourneuxiania,,C3
Rhynchospora,yasudana,leviseta,,C3
Jasminum,didymum,lineare,,C3
Patersonia,sericea,longifolia,,C3
Prunus,ilicifolia,lyonii,,C3
Olea,capensis,macrocarpa,,C3
Arctostaphylos,manzanita,manzanita,,C3
Beta,vulgaris,maritima,glabra,C3
Solanum,melongena,melongena,,C3
Liquidambar,styraciflua,mexicana,,C3
Achillea,millefolium,millefolium,,C3
Sanguisorba,minor,minor,,C3
Trifolium,incarnatum,molinerii,,C3
Trifolium,incarnatum,molinerii,,C3
Trifolium,incarnatum,molinerii,,C3
TRIFOLIUM,INCARNATUM,MOLINERII,,C3
Pinus,sylvestris,mongolica,,C3
Pinus,sylvestris,mongolica,,C3
Pinus,sylvestris,mongolica,,C3
Pinus,sylvestris,mongolica,,C3
Pinus,sylvestris,mongolica,,C3
Pinus,sylvestris,mongolica,,C3
Acacia,gerrardii,negevensis,,C3
Atriplex,hastata,novae,zelandiae,C3
Dichrostachys,cinerea,nyassana,,C3
Dichrostachys,cinerea,nyassana,,C3
SALIX,CINEREA,OLEIFOLIA,,C3
SALIX,CINEREA,OLEIFOLIA,,C3
SALIX,CINEREA,OLEIFOLIA,,C3
SALIX,CINEREA,OLEIFOLIA,,C3
Salix,fragilis,oleifolia,,C3
Festuca,arenaria,oraria,,C3
Festuca,arenaria,oraria,,C3
Festuca,arenaria,oraria,,C3
Hylodesmum,podocarpum,oxyphyllum,,C3
Hylodesmum,podocarpum,oxyphyllum,,C3
Hylodesmum,podocarpum,oxyphyllum,,C3
Achillea,millefolium,pannonica,,C3
Eleocharis,palustris,parvinux,,C3
Senna,artemisioides,Petiolaris,,C3
Helianthus,petiolaris,petiolaris,,C3
Helianthus,petiolaris,petiolaris,,C3
ARABIDOPSIS,LYRATA,PETRAEA,,C3
ARABIDOPSIS,LYRATA,PETRAEA,,C3
ARABIDOPSIS,LYRATA,PETRAEA,,C3
Ocimum,basilicum,pilosum,,C3
Ocimum,basilicum,purpurascens,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Populus,alba,pyramidalis,,C3
Arctostaphylos,tomentosa,rosei,,C3
Achillea,millefolium,roseoalba,,C3
Arenaria,lanuginosa,saxosa,,C3
Valeriana,rupestris,scabra,,C3
Achillea,millefolium,setacea,,C3
Euonymus,hamiltonianus,sieboldianus,,C3
Ceanothus,oliganthus,sorediatus,,C3
Dodonaea,viscosa,spatulata,,C3
Dodonaea,viscosa,spatulata,,C3
Dodonaea,viscosa,spatulata,,C3
Atriplex,patula,spicata,,C3
Arctostaphylos,stanfordiana,stanfordiana,,C3
Agrostis,stolonifera,stolonifer,,C3
Philadelphus,microphyllus,stromineus,,C3
Trifolium,subterraneum,subterraneum,,C3
Trifolium,subterraneum,subterraneum,,C3
Trifolium,subterraneum,subterraneum,,C3
Trifolium,subterraneum,subterraneum,,C3
Leontodon,taraxacoides,taraxacoides,,C3
Rubus,pungens,ternatus,,C3
Rubus,pungens,ternatus,,C3
Bromus,hordeaceus,thominii,,C3
Arctostaphylos,tomentosa,tomentosa,,C3
Bulbostylis,capillaris,trifida,,C3
Pouteria,torta,tuberculata,,C3
Asparagus,plumosa,vana,,C3
Lonicera,villosa,villosa,,C3
Prunus,pensylvanica,virginiana,,C3
Dodonaea,viscosa,viscosa,,C3
Dodonaea,viscosa,viscosa,,C3
Senna,artemisioides,zygophylla,,C3
Senna,artemisioides,Zygophylla,,C3
Musa,abaca,,,C3
Atriplex,abata,,,C3
Atriplex,abata,,,C3
Cassia,abbreviata,,,C3
Cassia,abbreviata,,,C3
Cassia,abbreviata,,,C3
Crotalaria,abbreviata,,,C3
Ecclinusa,abbreviata,,,C3
Ecclinusa,abbreviata,,,C3
Eucalyptus,abbreviata,,,C3
Homalium,abdessammadii,,,C3
Eucalyptus,abdita,,,C3
Zelkova,abelicea,,,C3
Hibiscus,abelmoschus,,,C3
Quercus,abendanonii,,,C3
Corymbia,abergiana,,,C3
Sloanea,aberrans,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
Picea,abies,,,C3
