genus,species,subspecies,variant,wood
Quercus,agrifolia,,agrifolia,woody
Hypochaeris,microcephala,,albiflora,non-woody
Phyllocladus,aspleniifolius,,alpinus,woody
Verticordia,plumosa,,ananeotes,woody
Phyllanthus,maderaspatensis,,angustifol,non-woody
Mimosa,dolens,,anisitsii,semi-woody
Piper,arboreum,,arboreum,woody
Pinus,ponderosa,,arizonica,woody
Camellia,sinensis,,assamica,woody
Elaeodendron,australe,,australe,woody
Cupaniopsis,flagelliformis,,australis,woody
Agrostis,avenacea,,avenacea,non-woody
Oryza,sativa,,Azucena,non-woody
Oryza,sativa,,Azucena,non-woody
Oryza,sativa,,Bala,non-woody
Picea,likiangensis,,balfouriana,woody
Mimosa,hirsutissima,,barbigera,semi-woody
Lonicera,nigra,,barbinervis,woody
Stipa,subsessiliflora,,basiplumosa,non-woody
Stipa,subsessiliflora,,basiplumosa,non-woody
Rubus,leucodermis,,bernardinus,woody
Nyssa,sylvatica,,biflora,woody
Cyperus,malaccensis,,brevifolius,non-woody
Banksia,sphaerocarpa,,caesia,woody
Corylus,cornuta,,californica,woody
Styrax,officinalis,,californicus,woody
Vitex,negundo,,cannabifolia,woody
Vitex,negundo,,cannabifolia,woody
Vitex,negundo,,cannabifolia,woody
Vitex,negundo,,cannabifolia,woody
Mimosa,gracilis,,capillipes,non-woody
Castanopsis,eyrei,,Caudata,woody
Pinus,leiophylla,,chihuahuana,woody
Nothofagus,solandri,,cliffortioides,woody
Banksia,spinulosa,,collina,woody
Banksia,spinulosa,,collina,woody
Photinia,prunifolia,,consimilis,woody
Pinus,contorta,,contorta,woody
Medusantha,eriophylla,,coriifolia,woody
Bauhinia,ungulata,,cuiabensis,woody
Ceanothus,cuneatus,,cuneatus,woody
Mimosa,debilis,,debilis,semi-woody
Prunus,virginiana,,demissa,woody
Acer,glabrum,,diffusum,woody
Sapindus,saponaria,,drummondii,woody
Bauhinia,dumosa,,dumosa,woody
Lonicera,caerulea,,edulis,woody
Solanum,ferrocissimum,,ferro,woody
Hakea,orthorryncha,,filiformis,woody
Leucadendron,brunioides,,flumenlupinum,woody
Garuga,foribunda,,gamblei,woody
Quercus,virginia,,geminata,woody
Acacia,gerrardii,,gerrardii,woody
Cercocarpus,montanus,,glaber,woody
Dichapetalum,angolense,,glabriusculum,woody
Prosopis,glandulosa,,glandulosa,woody
Knema,cinerea,,glauca,woody
Pseudotsuga,menziesii,,glauca,woody
Mimosa,ulei,,grallator,semi-woody
Hibiscus,sturtii,,grandiflorus,non-woody
Mimosa,hirsutissima,,grossa,semi-woody
Castanopsis,carlesii,,hainanca,woody
Castanopsis,carlesii,,hainanca,woody
Vitex,negundo,,heterophylla,woody
Salix,exigua,,hindsiana,woody
Mimosa,brevipetiolata,,hirtula,semi-woody
Cyrtostylis,reniformis,,huegelii,non-woody
Saussurea,superba,,humilis,non-woody
Mimosa,hypoglauca,,hypoglauca,woody
Mimosa,radula,,imbricata,semi-woody
Protium,divaricatum,,intermedium,woody
Mimosa,gracilis,,invisiformis,semi-woody
Populus,nigra,,italica,woody
Hedysarum,fruticosum,,laeve,woody
Leucadendron,lanigerum,,laevigatum,woody
Tetrazygia,hispida,,laevior,woody
Brachycome,ciliaris,,lanuginosa,non-woody
Brachyscome,ciliaris,,lanuginosa,non-woody
